ts	stub_class	referenced_by
2026-07-17T20:30:00Z	RangeList	Translate
2026-07-18T12:04:32Z	ValueMapLike	LongIteratorImpl
2026-07-18T00:00:00Z	WeakSet	WeakDataStructureFactory
2026-07-18T00:00:00Z	GraphIteratorLike	KeyIndexableSet
2026-07-18T00:00:00Z	AttributeLike	AttributeManager
2026-07-18T22:35:00Z	IntegerAttributeLike	DirectedGraph
2026-07-18T22:35:00Z	VertexSetLike	DirectedGraph
2026-07-18T23:00:00Z	Architecture	Platform
2026-07-18T23:15:00Z	GProperties	CustomOption
2026-07-18T23:45:00Z	ToolOptions	OptionsChangeListener
2026-07-18T23:45:00Z	OptionsVetoException	OptionsChangeListener
2026-07-19T00:10:00Z	WordLocationLike	StringUtilities
2026-07-19T00:30:00Z	BufferFileBlock	InputBlockStream
2026-07-19T01:15:00Z	LocalBufferFileLike	ChangeMapFile
2026-07-19T03:00:00Z	LongKeyNode	LongKeyRecordNode
2026-07-19T03:00:00Z	LongKeyInteriorNode	LongKeyRecordNode
2026-07-19T04:00:00Z	TwoWayBreakdownFactory	AddressRangeIterators
2026-07-19T04:00:00Z	UnionAddressRangeIteratorFactory	AddressRangeIterators
2026-07-19T05:00:00Z	VersionedDatabase	VersionedDBListener
2026-07-19T06:00:00Z	CheckoutType	LocalFolderItem
2026-07-20T00:00:00Z	TempDatabaseCleaner	FileSystemInitializer
2026-07-20T00:00:00Z	RepositoryItem	RepositoryHandle
2026-07-20T00:15:00Z	AuthCallback	GhidraServerHandle
2026-07-20T01:00:00Z	ApplicationPropertiesLike	ApplicationUtilities
2026-07-20T01:00:00Z	ApplicationIdentifierLike	ApplicationUtilities
2026-07-20T02:00:00Z	ApplicationLayoutLike	GenericRunInfo
2026-07-20T02:00:00Z	ApplicationLike	GenericRunInfo
2026-07-20T02:00:00Z	LegacyUserSettingsLocator	GenericRunInfo
2026-07-20T02:00:00Z	PreferencesLike	GenericRunInfo
2026-07-20T00:00:00Z	FixedKeyInteriorNodeLike	FixedKeyRecordNode
2026-07-20T03:30:00Z	CharsetSettingsDefinition	CharDataType
2026-07-20T04:00:00Z	GhidraFileChooserModelLike	GhidraFileFilter
2026-07-20T07:36:42Z	ProgramOverlayAddressSpace	ProgramAddressFactory
2026-07-20T09:00:00Z	FlowType	CodeBlockReference
2026-07-20T09:30:00Z	SignedDWordDataType	DWordDataType
2026-07-20T10:00:00Z	UnsignedIntegerDataType	IntegerDataType
2026-07-20T10:30:00Z	PointerType	PointerTypedefBuilder
2026-07-20T11:00:00Z	FloatFormat	BigFloat
2026-07-20T12:30:00Z	FloatFormat	AbstractFloatDataType
2026-07-20T12:00:00Z	SignedWordDataType	WordDataType
2026-07-20T13:00:00Z	UnsignedShortDataType	ShortDataType
2026-07-20T14:00:00Z	PcodeBlock	BlockGraph
2026-07-20T14:00:00Z	BlockCopy	BlockGraph
2026-07-20T15:00:00Z	PcodeBlock	BlockMap
2026-07-20T15:00:00Z	BlockGoto	BlockMap
2026-07-20T15:00:00Z	BlockIfGoto	BlockMap
2026-07-20T15:00:00Z	BlockMultiGoto	BlockMap
2026-07-20T16:00:00Z	PcodeOpAst	PcodeBlockBasic
2026-07-20T16:30:00Z	UInt16TDataType	Int16TDataType
2026-07-20T22:15:00Z	UInt64TDataType	Int64TDataType
2026-07-20T23:00:00Z	UInt8TDataType	Int8TDataType
2026-07-20T23:30:00Z	UnsignedInteger16DataType	Integer16DataType
2026-07-20T23:45:00Z	UnsignedInteger3DataType	Integer3DataType
2026-07-20T23:50:00Z	UnsignedInteger5DataType	Integer5DataType
2026-07-20T23:55:00Z	UnsignedInteger6DataType	Integer6DataType
2026-07-20T23:56:00Z	UnsignedInteger7DataType	Integer7DataType
2026-07-20T23:58:00Z	UnsignedLongDataType	LongDataType
2026-07-20T23:59:00Z	UnsignedLongLongDataType	LongLongDataType
2026-07-21T00:01:00Z	SignedQWordDataType	QWordDataType
2026-07-21T00:05:00Z	PropertyChangeEvent	WorkspaceChangeListener
2026-07-21T00:10:00Z	SwingExecutorServiceLike	AsyncUtils
2026-07-21T03:20:18Z	AsyncReferenceLike	AutoConfigState
2026-07-21T03:25:00Z	PluginLike	PluginInstaller
2026-07-20T23:55:00Z	CircularServiceALike	CircularPluginA
2026-07-21T04:02:03Z	PluginPackageLike	DefaultPluginPackagingProvider
2026-07-21T04:02:03Z	PluginDescriptionLike	DefaultPluginPackagingProvider
2026-07-21T05:00:00Z	UserManagerLike	AuthenticationModule
2026-07-21T05:30:00Z	KeyManagerFactoryLike	DefaultSSLContextInitializer
2026-07-21T05:30:00Z	TrustManagerFactoryLike	DefaultSSLContextInitializer
2026-07-21T05:30:00Z	HttpClientsLike	DefaultSSLContextInitializer
2026-07-21T04:37:31Z	RemoteBlockStreamHandleLike	BlockStreamServer
2026-07-21T06:00:00Z	RepositoryFolderLike	RepositoryFile
2026-07-21T04:57:17Z	RepositoryLike	RepositoryHandleImpl
2026-07-21T05:04:41Z	RepositoryManagerLike	RepositoryServerHandleImpl
2026-07-21T00:00:00Z	TransientProjectManagerLike	TransientProjectData
2026-07-21T06:30:00Z	GhidraFileDataLike	GhidraFolderData
2026-07-22T02:50:37Z	GhidraURLWrappedContentLike	GhidraURLConnection
2026-07-21T03:16:26Z	GhidraUrlHandlerLike	GhidraURL
2026-07-21T07:00:00Z	AutoServiceListenerLike	AutoService
2026-07-21T07:00:00Z	PluginTool	AutoService
2026-07-21T07:00:00Z	PluginLike	AutoService
2026-07-22T00:00:00Z	UInt32TDataType	Int32TDataType
2026-07-22T00:00:00Z	UnsignedPointerSizedIntegerDataType	PointerSizedIntegerDataType
2026-07-22T00:00:00Z	InstructionErrorType	InstructionBlock
2026-07-22T00:00:00Z	InstructionError	InstructionBlock
2026-07-22T00:00:00Z	InstructionBlockFlow	InstructionBlock
2026-07-22T00:00:00Z	HighSymbol	GlobalSymbolMap
2026-07-22T05:20:07Z	ConstructState	ContextSet
2026-07-22T06:00:00Z	SubtableSymbol	SleighCompile
2026-07-22T06:00:00Z	TokenSymbol	SleighCompile
2026-07-22T06:00:00Z	Constructor	SleighCompile
2026-07-22T07:00:00Z	ParamListStandardLike	AssignAction
2026-07-22T06:21:33Z	ParamListStandardLike	ParamListStandardOut
2026-07-22T06:21:33Z	VoidDataType.isVoidDataType	ParamListStandardOut
2026-07-22T06:28:30Z	GFileSystemLike	GFileSystemFactory
2026-07-22T06:38:48Z	FileAttributeTypeLike	FileAttribute
2026-07-22T09:15:00Z	FsrlRootLike	GFileSystem
2026-07-22T09:15:00Z	FileSystemRefManagerLike	GFileSystem
2026-07-22T09:15:00Z	FileAttributesLike	GFileSystem
2026-07-22T10:00:00Z	FileSystemRefLike	FileSystemRefManager
2026-07-22T11:00:00Z	FileSystemServiceLike	GFileSystemFactoryByteProvider
2026-07-22T12:00:00Z	SelectFromListDialogLike	FileSystemProbeConflictResolver
2026-07-22T13:00:00Z	FsrlLike	CryptoSession
2026-07-22T07:49:33Z	CachedFsrlLike	CachedPasswordProvider
2026-07-22T00:00:00Z	LocalFileSystemLike	FileSystemService
2026-07-22T00:00:00Z	FileCacheEntryLike	FileSystemService
2026-07-22T00:00:00Z	FileCacheEntryBuilderLike	FileSystemService
2026-07-22T14:00:00Z	FsrlRootLike	FSRL
2026-07-22T00:00:00Z	ByteProviderLike	Loader
2026-07-22T00:00:00Z	OptionLike	Loader
2026-07-22T00:00:00Z	LoadSpecLike	Loader
2026-07-22T00:00:00Z	LoadResultsLike	Loader
2026-07-22T00:00:00Z	ProjectLockLike	DefaultProjectData
2026-07-22T09:00:00Z	PluginTool	Plugin
2026-07-22T00:00:00Z	InstructionIterator.has_next	StructureFactory
2026-07-22T00:00:00Z	ModelRuleLike	ParamListStandard
2026-07-22T15:00:00Z	DataTypeInfoLike	CompositeDataTypeElementInfo
2026-07-22T16:00:00Z	AddressKeyIteratorLike	PropertyMapDB
2026-07-22T17:00:00Z	AddressCorrelationRangeLike	AddressCorrelation
2026-07-23T00:00:00Z	ExpressionValueLike	ExpressionEvaluator
2026-07-23T00:00:00Z	ExpressionException	ExpressionEvaluator
2026-07-23T00:00:00Z	OffsetFieldType	OffsetFieldLocation
2026-07-23T00:00:00Z	PseudoInstructionLike	PseudoFlowProcessor
2026-07-23T00:00:00Z	VarnodeContext	SymbolicPropogator
2026-07-23T00:00:00Z	OldLanguageFactory	LanguageVersionException
2026-07-23T00:00:00Z	LanguageTranslatorFactory	LanguageVersionException
2026-07-23T00:00:00Z	TripleSymbol	SleighParserContext
2026-07-23T00:00:00Z	LocalSymbolMap	HighFunctionDBUtil
2026-07-23T00:00:00Z	DataTypeSymbol	HighFunctionDBUtil
2026-07-23T00:00:00Z	DynamicEntry	HighFunctionDBUtil
2026-07-23T00:00:00Z	UnionFacetSymbol	HighFunctionDBUtil
2026-07-23T00:00:00Z	ParameterImpl	HighFunctionDBUtil
2026-07-23T00:00:00Z	ReturnParameterImpl	HighFunctionDBUtil
2026-07-23T00:00:00Z	LocalVariableImpl	HighFunctionDBUtil
2026-07-23T00:00:00Z	VariableUtilities	HighFunctionDBUtil
2026-07-23T00:00:00Z	Undefined	HighFunctionDBUtil
2026-07-23T18:00:00Z	HighSymbol	HighConstant
2026-07-23T18:00:00Z	LocalSymbolMap	HighConstant
2026-07-23T20:00:00Z	ConstructState	OpTplWalker
2026-07-23T21:00:00Z	ParamMeasure	HighParamID
2026-07-23T22:00:00Z	AddressXML	ParamEntry
2026-07-23T23:00:00Z	ProjectDataTypeManager	DataTypeArchiveDB
2026-07-23T23:05:00Z	DataTypeArchiveDbChangeSet	DataTypeArchiveDB
2026-07-24T00:00:00Z	LibrarySymbol	LibraryDB
2026-07-24T00:05:00Z	NamespaceManager	LibraryDB
2026-07-24T00:10:00Z	NamespaceSymbol	NamespaceDB
2026-07-24T00:15:00Z	PrototypeManagerProgram	PrototypeManager
2026-07-24T01:00:00Z	ModuleDB	ModuleManager
2026-07-24T01:00:00Z	FragmentDB	ModuleManager
2026-07-24T02:00:00Z	FunctionTagManagerProgram	FunctionTagManagerDB
2026-07-24T03:00:00Z	HighSymbol	HighCodeSymbol
2026-07-24T04:00:00Z	MetaDataType	NoisyStructureBuilder
2026-07-24T06:00:00Z	ExternalManagerDb	ExternalLocationDB
2026-07-25T00:00:00Z	VariableSymbolDb	FunctionDB
2026-07-25T01:00:00Z	JumpTable	HighFunction
2026-07-25T02:00:00Z	DomainObjectMergeManager	GhidraProgramMultiUserMergeManagerFactory
2026-07-25T05:01:01Z	SortedListPlaceholder	ValueSortedMap
2026-07-25T06:00:00Z	GraphNavigatorSeam	GraphAlgorithms
2026-07-25T06:05:00Z	TimeoutTaskMonitorSeam	GraphAlgorithms
2026-07-25T07:00:00Z	DataTypeManagerDb	ArrayDB
2026-07-25T08:00:00Z	GhidraApplicationLayout	DataTypeArchiveIdDumper
2026-07-25T08:00:00Z	GhidraLaunchable	DataTypeArchiveIdDumper
2026-07-25T08:34:12Z	Navigatable(grown)	NavigatableActionContext
2026-07-26T09:00:00Z	DataTypeInstance	CountedDynamicDataType
2026-07-26T09:05:00Z	ReadOnlyDataTypeComponent	CountedDynamicDataType
2026-07-26T09:10:00Z	MemBuffer(grown)	CountedDynamicDataType
2026-07-27T03:58:08Z	RegisterValueBuilder	ContextCache
2026-07-27T04:50:34Z	SourceLanguageId	SourceLanguage
2026-07-27T06:00:00Z	OldFunctionMapDB	OldFunctionManager
2026-07-27T13:00:00Z	ConstructorTraversal	SleighLanguages
2026-07-27T13:00:00Z	SubtableTraversal	SleighLanguages
2026-07-27T13:00:00Z	PcodeTraversal	SleighLanguages
2026-07-27T14:00:00Z	AssemblyNonTerminal	AssemblyGrammar
2026-07-27T14:00:00Z	AssemblyProduction	AssemblyGrammar
2026-07-27T14:00:00Z	Constructor	AssemblyGrammar
2026-07-27T14:00:00Z	AssemblyConstructorSemantic	AssemblyGrammar
2026-07-27T16:00:00Z	AssemblySymbol	AssemblyTerminal
2026-07-27T16:00:00Z	AssemblyNumericSymbols	AssemblyTerminal
2026-07-27T18:00:00Z	AssemblyExtendedProduction	AssemblyExtendedGrammar
2026-07-27T07:48:45Z	AssemblyNumericSymbols	AssemblyNumericTerminal
2026-07-27T08:24:55Z	AssemblyParseTreeNode	AssemblyParseBranch
2026-07-27T08:24:55Z	AssemblyProduction	AssemblyParseBranch
2026-07-27T08:24:55Z	AssemblyConstructorSemantic	AssemblyParseBranch
2026-07-27T21:00:00Z	BinaryExpressionMatcher	ExpressionMatcher
2026-07-27T21:00:00Z	ConstantValueMatcher	ExpressionMatcher
2026-07-27T21:00:00Z	AnyMatcher	ExpressionMatcher
2026-07-27T21:00:00Z	OperandValueMatcher	ExpressionMatcher
2026-07-27T21:00:00Z	FieldSizeMatcher	ExpressionMatcher
2026-07-27T21:00:00Z	UnaryExpressionMatcher	ExpressionMatcher
2026-07-27T22:00:00Z	AssemblyPatternBlock	AssemblySelector
2026-07-27T22:00:00Z	AssemblyResolutionResults	AssemblySelector
2026-07-27T22:00:00Z	AssemblySyntaxException	AssemblySelector
2026-07-28T02:53:27Z	SleighAssembler	SleighAssemblerBuilder
2026-07-28T03:15:21Z	OperandSymbol	AbstractAssemblyTreeResolver
2026-07-28T03:15:21Z	AssemblyContextGraph	AbstractAssemblyTreeResolver
2026-07-28T03:15:21Z	AbstractAssemblyStateGenerator	AbstractAssemblyTreeResolver
2026-07-28T04:00:00Z	MaskedLong	AbstractBinaryExpressionSolver
2026-07-28T04:39:51Z	PcodeInjectLibrary(grown)	InstructionPcodeOverride
2026-07-28T04:59:16Z	GenericCallingConvention(grown)	FunctionDefinitionDataType
2026-07-28T05:30:00Z	PointerTypeSettingsDefinition	PointerDataType
2026-07-28T05:30:00Z	Memory(grown)	PointerDataType
2026-07-28T05:30:00Z	Program(grown)	PointerDataType
2026-07-28T06:00:00Z	DumbMemBufferImpl	DataUtilities
2026-07-28T06:30:00Z	AlignedComponentPacker	AlignedStructurePacker
2026-07-28T06:30:00Z	DataOrganizationImpl.getAlignedOffset	AlignedStructurePacker
2026-07-28T07:00:00Z	BitFieldDataType	DataOrganizationImpl
2026-07-28T08:27:37Z	IsolatedEntrySubModelLike	UndefinedFunction
2026-07-28T08:27:37Z	FlowType(grown)	UndefinedFunction
2026-07-31T00:00:00Z	SignedByteDataType	ByteDataType
2026-07-31T00:00:00Z	AudioPlayer	AIFFDataType
2026-07-31T00:00:00Z	Symbol(grown)	SymbolUtilities
2026-07-31T00:00:00Z	SymbolTable(grown)	SymbolUtilities
2026-07-31T00:00:00Z	GModuleLike	Application
2026-07-31T00:00:00Z	ModuleUtilities(consts)	ExtensionDetails
2026-07-31T00:00:00Z	ExtensionUtils(consts)	ExtensionDetails
2026-07-31T00:00:00Z	ApplicationLayoutLike(grown)	ExtensionDetails
2026-08-01T00:00:00Z	ExtensionsLike	ExtensionUtils
2026-08-01T00:00:00Z	ApplicationLayoutLike(grown)	ExtensionUtils
2026-08-01T00:00:00Z	ApplicationModuleLike	GhidraJarBuilder
2026-08-01T04:50:15Z	CodeUnitFormatOptions	CodeUnitFormat
2026-08-01T04:50:15Z	NamespaceUtils	CodeUnitFormat
2026-08-01T04:50:15Z	CommentUtils	CodeUnitFormat
2026-08-01T07:36:08Z	C13ChecksumType	C13FileChecksum
2026-08-02T03:19:39Z	MdFragmentNameLike	MDReusableName
2026-08-02T03:19:39Z	MdTemplateNameAndArgumentsLike	MDReusableName
2026-08-02T00:00:00Z	MdQualifiedBasicNameLike	MDObjectCPP
2026-08-02T00:00:00Z	MdBasicNameLike	MDObjectCPP
2026-08-02T00:00:00Z	MdQualificationLike	MDObjectCPP
2026-08-02T00:00:00Z	MdStringLike	MDObjectCPP
2026-08-02T00:00:00Z	MdTypeInfoLike	MDObjectCPP
2026-08-02T00:00:00Z	MdNumberedNamespaceLike	MDQualifier
2026-08-02T03:40:00Z	MdTemplateNameAndArgumentsLike (extended)	MDBasicName
2026-08-02T03:40:00Z	MdSpecialNameLike	MDBasicName
2026-08-02T03:40:00Z	MdDataTypeLike	MDBasicName
2026-08-02T09:10:37Z	MdCvModLike	MDModifierType
2026-08-02T09:10:37Z	MdTypeLike	MDModifierType
2026-08-02T12:00:00Z	MdParsableItemLike	MDMangUtils
2026-08-02T12:00:00Z	MdComplexTypeLike	MDMangUtils
2026-08-02T12:00:00Z	MdQualifiedNameLike	MDMangUtils
2026-08-03T01:06:36Z	MsfFileReaderLike	Msf
2026-08-03T01:06:36Z	MsfStreamLike	Msf
2026-08-03T02:00:00Z	MdExceptionLike	MDMangGenericize
2026-08-03T02:00:00Z	MdMangObjectParserLike	MDMangGenericize
2026-08-03T02:30:00Z	MdDataTypeLike (extended)	MDComplexType
2026-08-03T02:30:00Z	MdMangLike (extended)	MDComplexType
2026-08-03T08:08:24Z	AbstractPdb (extended: get_type_record)	AbstractCobol0MsType
2026-08-04T07:34:05Z	AbstractMsSymbol	MsSymbolIterator
2026-08-04T12:00:00Z	PdbDebugInfo	GlobalReferenceIterator
2026-08-04T12:00:00Z	MsfStream consts (NIL_STREAM_NUMBER, MAX_STREAM_LENGTH)	GlobalReferenceIterator
2026-08-04T12:00:00Z	C11LinesLike	Module
2026-08-04T12:00:00Z	C13SectionLike	Module
2026-08-04T12:00:00Z	C13SectionIteratorLike	Module
2026-08-04T12:15:00Z	LocationTrackingSpec	DebuggerListing
2026-08-04T12:30:00Z	AutoReadMemorySpec	DebuggerListingService
2026-08-04T12:30:00Z	MultiBlendedListingBackgroundColorModel	DebuggerListingService
2026-08-04T12:30:00Z	CodeViewerService	DebuggerListingService
2026-08-04T12:30:00Z	ListingPanel	DebuggerListingService
2026-08-04T12:30:00Z	ProgramSelection	DebuggerListingService
2026-08-04T12:30:00Z	LitIdMode	DebuggerListingService
2026-08-05T02:10:12Z	ClipboardContentProviderService	ClipboardService
2026-08-05T03:18:11.597286+00:00	TraceAddressSnapSpace	ImmutableTraceAddressSnapRange
2026-08-05T05:00:00.000000+00:00	ObjectKey	TraceUniqueObject
2026-08-05T00:00:00.000000+00:00	TraceBookmarkType	TraceBookmark
2026-08-05T07:11:21.975265+00:00	TraceObjectInterface	TraceRegisterContainer
2026-08-05T08:18:39.063694+00:00	TraceObjectSchema	SchemaContext
2026-08-05T09:45:00.000000+00:00	AttributeSchema	PrimitiveTraceObjectSchema
2026-08-05T08:57:48.874074+00:00	SchemaBuilder	DefaultSchemaContext
2026-08-06T01:41:21.293989+00:00	TraceObject	TraceObjectValue
2026-08-06T02:54:57.197691+00:00	TraceObjectInterface	TraceMemory
2026-08-06T05:50:59.453305+00:00	TracePlatform	TraceCodeUnit
2026-08-06T05:50:59.453326+00:00	TraceThread	TraceCodeUnit
2026-08-06T06:30:00.000000+00:00	TraceStackFrame	TraceCodeManager
2026-08-06T00:00:00.000000+00:00	TraceMemoryOperations	TraceMemorySpace
2026-08-07T02:16:00.601054+00:00	TraceSnapshot	TraceTimeManager
2026-08-07T02:16:00.602637+00:00	TraceSchedule	TraceTimeManager
2026-08-07T02:22:42.658470+00:00	TimeRadix	TraceTimeManager
2026-08-07T04:00:00+00:00	BackwardLongKeyIterator	DirectedLongKeyIterator
2026-08-07T04:00:00+00:00	ForwardLongKeyIterator	DirectedLongKeyIterator
